fileName,FPDT-TCP-C2FP,FPDT-TCP-ITF,FPDT-TCP-QS,FPDT-TCP
APFD_1_2,0.96790122,0.976131685,0.961419775,0.975514415
APFD_1_3,0.968715845,0.97049175,0.94590163,0.9699453
APFD_1_4,0.9644809,0.96666664,0.9437158,0.96775955
APFD_1_5,0.96892655,0.97019772,0.94519775,0.97118645
APFD_1_6,0.96671515,0.9732558,0.94142445,0.9732558
APFD_1_7,0.94331396,0.9457364,0.890988385,0.9491279
APFD_1_8,0.9063954,0.91976743,0.8369186,0.9226744
APFD_1_9,0.8767442,0.9110465,0.819767445,0.91453487
APFD_2_3,0.9870892,0.985446,0.98075116,0.985446
APFD_2_4,0.96103287,0.9713615,0.96760565,0.97230047
APFD_2_5,0.9559179,0.982286675,0.97326895,0.984219045
APFD_2_6,0.980198,0.99504954,0.99504954,0.99504954
APFD_2_7,0.910066,0.9537954,0.91419143,0.95957094
APFD_2_8,0.83217824,0.91831684,0.83366335,0.930198
APFD_2_9,0.8024753,0.89603965,0.81138617,0.9054456
APFD_3_4,0.8364023,0.9851275,0.98300284,0.9851275
APFD_3_5,0.9855908,0.99567723,0.99351585,0.99567723
APFD_3_6,0.98964494,0.9970414,0.9970414,0.9970414
APFD_3_7,0.9837278,0.9935897,0.98964494,0.9935897
APFD_3_8,0.82426035,0.921597625,0.87071,0.9304733
APFD_3_9,0.8002976,0.90029764,0.8342262,0.91160715
APFD_4_5,0.9879178,0.99665815,0.994730075,0.996401075
APFD_4_6,0.99210525,0.9980263,0.99791665,0.99791665
APFD_4_7,0.9907895,0.9973684,0.9960526,0.9960526
APFD_4_8,0.9692105,0.945,0.9197368,0.947894695
APFD_4_9,0.965873,0.9346561,0.90978837,0.9436508
APFD_5_6,0.9943439,0.9977376,0.9977376,0.9977376
APFD_5_7,0.9943052,0.9920273,0.97722095,0.986902
APFD_5_8,0.9779043,0.97152615,0.947836,0.97699314
APFD_5_9,0.97643024,0.9723112,0.9768879,0.9860412
APFD_6_7,0.9918033,0.9936248,0.9826958,0.991439
APFD_6_8,0.97941715,0.9765027,0.9513661,0.98324225
APFD_6_9,0.97897625,0.9676417,0.9658135,0.9756856
APFD_7_8,0.97228914,0.9829604,0.9771084,0.9836489
APFD_7_9,0.9701209,0.96632123,0.9597582,0.9701209
APFD_8_9,0.92716855,0.9811784,0.9811784,0.9811784
